company_prefix;company_name;item_reference;item_name
051578;Kuvalis, Doyle and Flatley;9086830;Chicken - Leg / Back Attach
021276;Feil Inc;9837077;Coffee Cup 8oz 5338cd
745230;Nitzsche-Gerlach;6232899;Truffle - Whole Black Peeled
107956107956;Rodriguez, Beier and Ratke;2;Salmon - Atlantic, Fresh, Whole
7002011;Orn, Ortiz and Keebler;482701;Bread - Mini Hamburger Bun
4619611;Rolfson, Collins and Runolfsson;162323;Contreau
108653;Rath, Ferry and Moen;1180386;Wine - Spumante Bambino White
814875;Cummerata-Schaden;5090895;Pork - Tenderloin, Fresh
378922;Rowe-Gibson;8414833;Chutney Sauce - Mango
4499823;Daugherty, Hettinger and Koelpin;351572;Smoked Tongue
1210999912;Heidenreich-Kessler;123;Ecolab - Hobart Washarm End Cap
900706;Weimann-Casper;8213657;Sea Bass - Whole
7408273;Stark-McCullough;664337;Turkey - Whole, Fresh
828415;Weber-Reichel;5417914;Flower - Leather Leaf Fern
451802;Koelpin, Kozey and Grimes;2638491;Fond - Neutral
00169691;Smitham Group;87387;Almonds Ground Blanched
563974;Gusikowski-Leuschke;4156235;Cranberries - Dry
077605;Shanahan, Bernier and Funk;5749311;Trout - Smoked
349605;Harvey-Weber;4548221;Wine - Zonnebloem Pinotage
342472;Macejkovic, Towne and Spencer;6004566;Tamarind Paste
770270770270;Halvorson, Schinner and Smitham;9;Pepper Squash
327884;Welch and Sons;7703818;Crab - Blue, Frozen
812302;Spinka, Hauck and Bogan;5276620;Juice Peach Nectar
905710;Jakubowski-Veum;9832832;Plate - Foam, Bread And Butter
997970;Stark-Ward;9212388;Pasta - Ravioli
917969;Aufderhar Group;3602750;Cheese - Ricotta
096652;Wisoky-Roob;6172545;Pork - Kidney
51151534;Schmidt-Quigley;78331;Apple - Delicious, Red
5023208822;Smitham, Swaniawski and Upton;521;Hagen Daza - Dk Choocolate
446617;Koelpin Inc;9353565;Wine - Sauvignon Blanc Oyster
013332;Little, King and Zboncak;4770766;Wine - Red Oakridge Merlot
600851600851;O'Conner-Turner;2;Wild Boar - Tenderloin
196645;Lynch-Fay;1236529;Broccoli - Fresh
4984121;O'Reilly Inc;901844;Pork - Back, Long Cut, Boneless
676413;Hayes-Schumm;8849362;Triple Sec - Mcguinness
485771;Morar-Schulist;5339535;Lamb - Whole Head Off,nz
793681;Carroll-Hammes;9774282;Jicama
3209622;Windler-Stark;461277;Longos - Greek Salad
823413;Johnson-Donnelly;4397760;Grouper - Fresh
623828;Wolf and Sons;4865650;Food Colouring - Orange
655062;Zboncak Inc;1232213;Vermouth - White, Cinzano
472731472731;Dicki Group;2;Soup - Knorr, Chicken Noodle
443750;Cole, Kemmer and Turner;5573641;Spring Roll Veg Mini
2777462999;Gottlieb-Denesik;401;Bread - Hamburger Buns
